Name;Team;Position;Height(inches);Weight(pounds)
Adam_Donachie;BAL;Catcher;74;180
Paul_Bako;BAL;Catcher;74;215
Ramon_Hernandez;BAL;Catcher;72;210
Kevin_Millar;BAL;First_Baseman;72;210
Chris_Gomez;BAL;First_Baseman;73;188
Brian_Roberts;BAL;Second_Baseman;69;176
Miguel_Tejada;BAL;Shortstop;69;209
Melvin_Mora;BAL;Third_Baseman;71;200
Aubrey_Huff;BAL;Third_Baseman;76;231
Adam_Stern;BAL;Outfielder;71;180
Jeff_Fiorentino;BAL;Outfielder;73;188
Freddie_Bynum;BAL;Outfielder;73;180
Nick_Markakis;BAL;Outfielder;74;185
Brandon_Fahey;BAL;Outfielder;74;160
Corey_Patterson;BAL;Outfielder;69;180
Jay_Payton;BAL;Outfielder;70;185
Jay_Gibbons;BAL;Designated_Hitter;72;197
Erik_Bedard;BAL;Starting_Pitcher;73;189
Hayden_Penn;BAL;Starting_Pitcher;75;185
Adam_Loewen;BAL;Starting_Pitcher;78;219
Daniel_Cabrera;BAL;Starting_Pitcher;79;230
Steve_Trachsel;BAL;Starting_Pitcher;76;205
Jaret_Wright;BAL;Starting_Pitcher;74;230
Kris_Benson;BAL;Starting_Pitcher;76;195
Scott_Williamson;BAL;Relief_Pitcher;72;180
John_Parrish;BAL;Relief_Pitcher;71;192
Danys_Baez;BAL;Relief_Pitcher;75;225
Chad_Bradford;BAL;Relief_Pitcher;77;203
Jamie_Walker;BAL;Relief_Pitcher;74;195
Brian_Burres;BAL;Relief_Pitcher;73;182
Kurt_Birkins;BAL;Relief_Pitcher;74;188
James_Hoey;BAL;Relief_Pitcher;78;200
Sendy_Rleal;BAL;Relief_Pitcher;73;180
Chris_Ray;BAL;Relief_Pitcher;75;200
Jeremy_Guthrie;BAL;Relief_Pitcher;73;200
A.J._Pierzynski;CWS;Catcher;75;245
Toby_Hall;CWS;Catcher;75;240
Paul_Konerko;CWS;First_Baseman;74;215
Tadahito_Iguchi;CWS;Second_Baseman;69;185
Juan_Uribe;CWS;Shortstop;71;175
Alex_Cintron;CWS;Shortstop;74;199
Joe_Crede;CWS;Third_Baseman;73;200
Josh_Fields;CWS;Third_Baseman;73;215
Ryan_Sweeney;CWS;Outfielder;76;200
Brian_N._Anderson;CWS;Outfielder;74;205
Luis_Terrero;CWS;Outfielder;74;206
Pablo_Ozuna;CWS;Outfielder;70;186
Scott_Podsednik;CWS;Outfielder;72;188
Jermaine_Dye;CWS;Outfielder;77;220
Darin_Erstad;CWS;Outfielder;74;210
Rob_Mackowiak;CWS;Outfielder;70;195
Jim_Thome;CWS;Designated_Hitter;76;244
Jerry_Owens;CWS;Designated_Hitter;75;195
Charlie_Haeger;CWS;Starting_Pitcher;73;200
Heath_Phillips;CWS;Starting_Pitcher;75;200
Gavin_Floyd;CWS;Starting_Pitcher;76;212
Jose_Contreras;CWS;Starting_Pitcher;76;224
Jon_Garland;CWS;Starting_Pitcher;78;210
Javier_Vazquez;CWS;Starting_Pitcher;74;205
Mark_Buehrle;CWS;Starting_Pitcher;74;220
Mike_MacDougal;CWS;Relief_Pitcher;76;195
David_Aardsma;CWS;Relief_Pitcher;77;200
Andrew_Sisco;CWS;Relief_Pitcher;81;260
Matt_Thornton;CWS;Relief_Pitcher;78;228
Bobby_Jenks;CWS;Relief_Pitcher;75;270
Boone_Logan;CWS;Relief_Pitcher;77;200
Sean_Tracey;CWS;Relief_Pitcher;75;210
Nick_Masset;CWS;Relief_Pitcher;76;190
Jose_Molina;ANA;Catcher;74;220
Jeff_Mathis;ANA;Catcher;72;180
Mike_Napoli;ANA;Catcher;72;205
Casey_Kotchman;ANA;First_Baseman;75;210
Kendry_Morales;ANA;First_Baseman;73;220
Shea_Hillenbrand;ANA;First_Baseman;73;211
Robb_Quinlan;ANA;First_Baseman;73;200
Howie_Kendrick;ANA;First_Baseman;70;180
Orlando_Cabrera;ANA;Shortstop;70;190
Erick_Aybar;ANA;Shortstop;70;170
Dallas_McPherson;ANA;Third_Baseman;76;230
Maicer_Izturis;ANA;Third_Baseman;68;155
Reggie_Willits;ANA;Outfielder;71;185
Tommy_Murphy;ANA;Outfielder;72;185
Terry_Evans;ANA;Outfielder;75;200
Gary_Matthews_Jr.;ANA;Outfielder;75;225
Garret_Anderson;ANA;Outfielder;75;225
Vladimir_Guerrero;ANA;Outfielder;75;220
Chone_Figgins;ANA;Outfielder;68;160
Juan_Rivera;ANA;Outfielder;74;205
John_Lackey;ANA;Starting_Pitcher;78;235
Bartolo_Colon;ANA;Starting_Pitcher;71;250
Kelvim_Escobar;ANA;Starting_Pitcher;73;210
Dustin_Moseley;ANA;Starting_Pitcher;76;190
Ervin_Santana;ANA;Starting_Pitcher;74;160
Joe_Saunders;ANA;Starting_Pitcher;74;200
Jered_Weaver;ANA;Starting_Pitcher;79;205
Chris_Resop;ANA;Relief_Pitcher;75;222
Phil_Seibel;ANA;Relief_Pitcher;73;195
Justin_Speier;ANA;Relief_Pitcher;76;205
Darren_Oliver;ANA;Relief_Pitcher;74;220
Hector_Carrasco;ANA;Relief_Pitcher;74;220
Scot_Shields;ANA;Relief_Pitcher;73;170
Francisco_Rodriguez;ANA;Relief_Pitcher;72;185
Greg_Jones;ANA;Relief_Pitcher;74;195
Doug_Mirabelli;BOS;Catcher;73;220
Jason_Varitek;BOS;Catcher;74;230
George_Kottaras;BOS;Catcher;72;180
Kevin_Youkilis;BOS;First_Baseman;73;220
Dustin_Pedroia;BOS;Second_Baseman;69;180
Alex_Cora;BOS;Shortstop;72;180
Julio_Lugo;BOS;Shortstop;73;170
Mike_Lowell;BOS;Third_Baseman;75;210
Wily_Mo_Pe?a;BOS;Outfielder;75;215
J.D._Drew;BOS;Outfielder;73;200
Manny_Ramirez;BOS;Outfielder;72;213
Brandon_Moss;BOS;Outfielder;72;180
David_Murphy;BOS;Outfielder;76;192
Eric_Hinske;BOS;Outfielder;74;235
Coco_Crisp;BOS;Outfielder;72;185
David_Ortiz;BOS;Designated_Hitter;76;230
Curt_Schilling;BOS;Starting_Pitcher;77;235
Tim_Wakefield;BOS;Starting_Pitcher;74;210
Josh_Beckett;BOS;Starting_Pitcher;77;222
Matt_Clement;BOS;Starting_Pitcher;75;210
Jonathan_Papelbon;BOS;Starting_Pitcher;76;230
Kyle_Snyder;BOS;Starting_Pitcher;80;220
Devern_Hansack;BOS;Starting_Pitcher;74;180
Jon_Lester;BOS;Starting_Pitcher;74;190
Kason_Gabbard;BOS;Starting_Pitcher;75;200
Craig_Hansen;BOS;Relief_Pitcher;78;210
Hideki_Okajima;BOS;Relief_Pitcher;73;194
Craig_Breslow;BOS;Relief_Pitcher;73;180
Manny_Delcarmen;BOS;Relief_Pitcher;74;190
Brendan_Donnelly;BOS;Relief_Pitcher;75;240
Javier_Lopez;BOS;Relief_Pitcher;76;200
J.C._Romero;BOS;Relief_Pitcher;71;198
Joel_Pineiro;BOS;Relief_Pitcher;73;200
Julian_Tavarez;BOS;Relief_Pitcher;74;195
Mike_Timlin;BOS;Relief_Pitcher;76;210
Nick_DeBarr;BOS;Relief_Pitcher;76;220
Victor_Martinez;CLE;Catcher;74;190
Kelly_Shoppach;CLE;Catcher;73;210
Ryan_Garko;CLE;First_Baseman;74;225
Joe_Inglett;CLE;Second_Baseman;70;180
Josh_Barfield;CLE;Second_Baseman;72;185
Hector_Luna;CLE;Second_Baseman;73;170
Jhonny_Peralta;CLE;Shortstop;73;185
Andy_Marte;CLE;Third_Baseman;73;185
Ben_Francisco;CLE;Outfielder;73;180
Shin-Soo_Choo;CLE;Outfielder;71;178
Franklin_Gutierrez;CLE;Outfielder;74;175
Grady_Sizemore;CLE;Outfielder;74;200
Jason_Michaels;CLE;Outfielder;72;204
Trot_Nixon;CLE;Outfielder;74;211
David_Dellucci;CLE;Outfielder;71;190
Casey_Blake;CLE;Outfielder;74;210
Travis_Hafner;CLE;Designated_Hitter;75;240
Paul_Byrd;CLE;Starting_Pitcher;73;190
Cliff_Lee;CLE;Starting_Pitcher;75;190
Jake_Westbrook;CLE;Starting_Pitcher;75;185
C.C._Sabathia;CLE;Starting_Pitcher;79;290
Jeremy_Sowers;CLE;Starting_Pitcher;73;175
Rafael_Perez;CLE;Relief_Pitcher;75;185
Brian_Slocum;CLE;Relief_Pitcher;76;200
Edward_Mujica;CLE;Relief_Pitcher;74;220
Fernando_Cabrera;CLE;Relief_Pitcher;76;170
Tom_Mastny;CLE;Relief_Pitcher;78;220
Juan_Lara;CLE;Relief_Pitcher;74;190
Fausto_Carmona;CLE;Relief_Pitcher;76;220
Aaron_Fultz;CLE;Relief_Pitcher;72;205
Rafael_Betancourt;CLE;Relief_Pitcher;74;200
Roberto_Hernandez;CLE;Relief_Pitcher;76;250
Joe_Borowski;CLE;Relief_Pitcher;74;225
Matt_Miller;CLE;Relief_Pitcher;75;215
Jason_Davis;CLE;Relief_Pitcher;78;210
Mike_Piazza;OAK;Catcher;75;215
Jason_Kendall;OAK;Catcher;72;195
Adam_Melhuse;OAK;Catcher;74;200
Nick_Swisher;OAK;First_Baseman;72;194
Dan_Johnson;OAK;First_Baseman;74;220
Donald_Murphy;OAK;Second_Baseman;70;180
Mark_Ellis;OAK;Second_Baseman;71;180
Marco_Scutaro;OAK;Shortstop;70;170
Bobby_Crosby;OAK;Shortstop;75;195
Mark_Kiger;OAK;Shortstop;71;180
Antonio_Perez;OAK;Third_Baseman;71;170
Eric_Chavez;OAK;Third_Baseman;73;206
Milton_Bradley;OAK;Outfielder;72;205
Shannon_Stewart;OAK;Outfielder;71;200
Bobby_Kielty;OAK;Outfielder;73;225
Mark_Kotsay;OAK;Outfielder;72;201
Ryan_Goleski;OAK;Outfielder;75;225
Jeremy_Brown;OAK;Designated_Hitter;70;226
Jason_Windsor;OAK;Starting_Pitcher;74;233
David_Shafer;OAK;Starting_Pitcher;74;180
Joe_Blanton;OAK;Starting_Pitcher;75;225
Brad_Halsey;OAK;Starting_Pitcher;73;180
Dan_Haren;OAK;Starting_Pitcher;77;220
Rich_Harden;OAK;Starting_Pitcher;73;180
Joe_Kennedy;OAK;Starting_Pitcher;76;237
Esteban_Loaiza;OAK;Starting_Pitcher;75;215
Alan_Embree;OAK;Relief_Pitcher;74;190
Jay_Witasick;OAK;Relief_Pitcher;76;235
Justin_Duchscherer;OAK;Relief_Pitcher;75;190
Kiko_Calero;OAK;Relief_Pitcher;73;180
Chad_Gaudin;OAK;Relief_Pitcher;71;165
Lenny_DiNardo;OAK;Relief_Pitcher;76;195
Scott_Dunn;OAK;Relief_Pitcher;75;200
Huston_Street;OAK;Relief_Pitcher;72;190
Ron_Flores;OAK;Relief_Pitcher;71;190
Jay_Marshall;OAK;Relief_Pitcher;77;185
Marcus_McBeth;OAK;Relief_Pitcher;73;185
Jorge_Posada;NYY;Catcher;74;205
Wil_Nieves;NYY;Catcher;71;190
Andy_Phillips;NYY;First_Baseman;72;205
Doug_Mientkiewicz;NYY;First_Baseman;74;206
Josh_Phelps;NYY;First_Baseman;75;220
Miguel_Cairo;NYY;Second_Baseman;73;208
Robinson_Cano;NYY;Second_Baseman;72;170
Derek_Jeter;NYY;Shortstop;75;195
Alex_Rodriguez;NYY;Third_Baseman;75;210
Johnny_Damon;NYY;Outfielder;74;190
Bobby_Abreu;NYY;Outfielder;72;211
Hideki_Matsui;NYY;Outfielder;74;230
Melky_Cabrera;NYY;Outfielder;71;170
Kevin_Thompson;NYY;Outfielder;70;185
Jason_Giambi;NYY;Designated_Hitter;75;230
Mike_Mussina;NYY;Starting_Pitcher;74;185
Carl_Pavano;NYY;Starting_Pitcher;77;241
Andy_Pettitte;NYY;Starting_Pitcher;77;225
Darrell_Rasner;NYY;Starting_Pitcher;75;210
Jeff_Karstens;NYY;Starting_Pitcher;75;175
Humberto_Sanchez;NYY;Starting_Pitcher;78;230
Chien-Ming_Wang;NYY;Starting_Pitcher;75;200
Sean_Henn;NYY;Relief_Pitcher;76;215
Scott_Proctor;NYY;Relief_Pitcher;73;198
Brian_Bruney;NYY;Relief_Pitcher;75;226
Chris_Britton;NYY;Relief_Pitcher;75;278
T.J._Beam;NYY;Relief_Pitcher;79;215
Jose_Veras;NYY;Relief_Pitcher;77;230
Kyle_Farnsworth;NYY;Relief_Pitcher;76;240
Luis_Vizcaino;NYY;Relief_Pitcher;71;184
Mike_Myers;NYY;Relief_Pitcher;75;219
Mariano_Rivera;NYY;Relief_Pitcher;74;170
Ivan_Rodriguez;DET;Catcher;69;218
Vance_Wilson;DET;Catcher;71;190
Sean_Casey;DET;First_Baseman;76;225
Chris_Shelton;DET;First_Baseman;72;220
Omar_Infante;DET;Second_Baseman;72;176
Placido_Polanco;DET;Second_Baseman;70;190
Neifi_Perez;DET;Second_Baseman;72;197
Carlos_Guillen;DET;Shortstop;73;204
Ramon_Santiago;DET;Shortstop;71;167
Tony_Giarratano;DET;Shortstop;72;180
Brandon_Inge;DET;Third_Baseman;71;195
Craig_Monroe;DET;Outfielder;73;220
Magglio_Ordo?ez;DET;Outfielder;72;215
Curtis_Granderson;DET;Outfielder;73;185
Brent_Clevlen;DET;Outfielder;74;190
Marcus_Thames;DET;Outfielder;74;205
Gary_Sheffield;DET;Outfielder;72;205
Mike_Rabelo;DET;Designated_Hitter;73;200
Zach_Miner;DET;Starting_Pitcher;75;200
Jeremy_Bonderman;DET;Starting_Pitcher;74;210
Nate_Robertson;DET;Starting_Pitcher;74;215
Justin_Verlander;DET;Starting_Pitcher;77;200
Virgil_Vasquez;DET;Starting_Pitcher;75;205
Kenny_Rogers;DET;Starting_Pitcher;73;211
Mike_Maroth;DET;Starting_Pitcher;72;190
Fernando_Rodney;DET;Relief_Pitcher;71;208
Chad_Durbin;DET;Relief_Pitcher;74;200
Jason_Grilli;DET;Relief_Pitcher;77;210
Jose_Mesa;DET;Relief_Pitcher;75;232
Todd_Jones;DET;Relief_Pitcher;75;230
Joel_Zumaya;DET;Relief_Pitcher;75;210
Jordan_Tata;DET;Relief_Pitcher;78;220
Andrew_Miller;DET;Relief_Pitcher;78;210
Yorman_Bazardo;DET;Relief_Pitcher;74;202
Wilfredo_Ledezma;DET;Relief_Pitcher;76;212
Roman_Colon;DET;Relief_Pitcher;78;225
Edward_Campusano;DET;Relief_Pitcher;76;170
Rene_Rivera;SEA;Catcher;70;190
Kenji_Johjima;SEA;Catcher;72;200
Richie_Sexson;SEA;First_Baseman;80;237
Ben_Broussard;SEA;First_Baseman;74;220
Jose_Lopez;SEA;Second_Baseman;74;170
Jose_Vidro;SEA;Second_Baseman;71;193
Yuniesky_Betancourt;SEA;Shortstop;70;190
Oswaldo_Navarro;SEA;Shortstop;72;150
Adrian_Beltre;SEA;Third_Baseman;71;220
Raul_Ibanez;SEA;Outfielder;74;200
Jose_Guillen;SEA;Outfielder;71;190
Jeremy_Reed;SEA;Outfielder;72;185
Willie_Bloomquist;SEA;Outfielder;71;185
Adam_Jones;SEA;Outfielder;74;200
Ichiro_Suzuki;SEA;Outfielder;69;172
Mike_Morse;SEA;Outfielder;76;220
Felix_Hernandez;SEA;Starting_Pitcher;75;225
Ryan_Feierabend;SEA;Starting_Pitcher;75;190
Sean_White;SEA;Starting_Pitcher;76;195
Horacio_Ramirez;SEA;Starting_Pitcher;73;219
Cha_Baek;SEA;Starting_Pitcher;76;190
Miguel_Batista;SEA;Starting_Pitcher;73;197
Jeff_Weaver;SEA;Starting_Pitcher;77;200
Jarrod_Washburn;SEA;Starting_Pitcher;73;195
George_Sherrill;SEA;Relief_Pitcher;72;210
Julio_Mateo;SEA;Relief_Pitcher;72;177
J.J._Putz;SEA;Relief_Pitcher;77;220
Chris_Reitsma;SEA;Relief_Pitcher;77;235
Cesar_Jimenez;SEA;Relief_Pitcher;71;180
Eric_O'Flaherty;SEA;Relief_Pitcher;74;195
Jon_Huber;SEA;Relief_Pitcher;74;195
Jake_Woods;SEA;Relief_Pitcher;73;190
Sean_Green;SEA;Relief_Pitcher;78;230
Mark_Lowe;SEA;Relief_Pitcher;75;190
Josh_Paul;TB;Catcher;73;200
Dioner_Navarro;TB;Catcher;70;190
Shawn_Riggans;TB;Catcher;74;190
Ty_Wigginton;TB;First_Baseman;72;200
Brendan_Harris;TB;Second_Baseman;73;200
Jorge_Cantu;TB;Second_Baseman;73;184
Ben_Zobrist;TB;Shortstop;75;200
B.J._Upton;TB;Third_Baseman;75;180
Carl_Crawford;TB;Outfielder;74;219
Rocco_Baldelli;TB;Outfielder;76;187
Greg_Norton;TB;Outfielder;73;200
Elijah_Dukes;TB;Outfielder;74;220
Delmon_Young;TB;Outfielder;75;205
Jonny_Gomes;TB;Designated_Hitter;73;205
Edwin_Jackson;TB;Starting_Pitcher;75;190
Scott_Kazmir;TB;Starting_Pitcher;72;170
Casey_Fossum;TB;Starting_Pitcher;73;160
Jae_Seo;TB;Starting_Pitcher;73;215
J.P._Howell;TB;Starting_Pitcher;72;175
Tim_Corcoran;TB;Starting_Pitcher;74;205
Jason_Hammel;TB;Starting_Pitcher;78;200
James_Shields;TB;Starting_Pitcher;76;214
Brian_Stokes;TB;Starting_Pitcher;73;200
Juan_Salas;TB;Relief_Pitcher;74;190
Jeff_Ridgway;TB;Relief_Pitcher;75;180
Ruddy_Lugo;TB;Relief_Pitcher;70;205
Jae-Kuk_Ryu;TB;Relief_Pitcher;75;220
Chad_Orvella;TB;Relief_Pitcher;71;190
Dan_Miceli;TB;Relief_Pitcher;72;215
Seth_McClung;TB;Relief_Pitcher;78;235
Jon_Switzer;TB;Relief_Pitcher;75;191
Shawn_Camp;TB;Relief_Pitcher;73;200
Scott_Dohmann;TB;Relief_Pitcher;73;181
Jason_LaRue;KC;Catcher;71;200
John_Buck;KC;Catcher;75;210
Ryan_Shealy;KC;First_Baseman;77;240
Ross_Gload;KC;First_Baseman;72;185
Esteban_German;KC;Second_Baseman;69;165
Mark_Grudzielanek;KC;Second_Baseman;73;190
Angel_Sanchez;KC;Second_Baseman;74;185
Angel_Berroa;KC;Shortstop;72;175
Andres_Blanco;KC;Shortstop;70;155
Mark_Teahen;KC;Third_Baseman;75;210
Joey_Gathright;KC;Outfielder;70;170
David_DeJesus;KC;Outfielder;72;175
Shane_Costa;KC;Outfielder;72;220
Mitch_Maier;KC;Outfielder;74;210
Reggie_Sanders;KC;Outfielder;73;205
Emil_Brown;KC;Outfielder;74;200
Mike_Sweeney;KC;Designated_Hitter;75;225
John_Bale;KC;Starting_Pitcher;76;205
Luke_Hudson;KC;Starting_Pitcher;75;195
Scott_Elarton;KC;Starting_Pitcher;80;240
Odalis_Perez;KC;Starting_Pitcher;72;150
Gil_Meche;KC;Starting_Pitcher;75;200
Neal_Musser;KC;Starting_Pitcher;73;215
Brian_Bannister;KC;Starting_Pitcher;74;202
Zack_Greinke;KC;Starting_Pitcher;74;200
Jorge_De_La_Rosa;KC;Starting_Pitcher;73;190
Todd_Wellemeyer;KC;Relief_Pitcher;75;205
Jimmy_Gobble;KC;Relief_Pitcher;75;190
Joel_Peralta;KC;Relief_Pitcher;71;160
Ryan_Braun;KC;Relief_Pitcher;73;215
Joakim_Soria;KC;Relief_Pitcher;75;185
Ken_Ray;KC;Relief_Pitcher;74;200
David_Riske;KC;Relief_Pitcher;74;190
Octavio_Dotel;KC;Relief_Pitcher;72;210
Joe_Nelson;KC;Relief_Pitcher;74;185
Gerald_Laird;TEX;Catcher;74;220
Miguel_Ojeda;TEX;Catcher;74;190
Guillermo_Quiroz;TEX;Catcher;73;202
Chris_Stewart;TEX;Catcher;76;205
Mark_Teixeira;TEX;First_Baseman;75;220
Ian_Kinsler;TEX;Second_Baseman;72;175
Joaquin_Arias;TEX;Shortstop;73;160
Michael_Young;TEX;Shortstop;73;190
Hank_Blalock;TEX;Third_Baseman;73;200
Marlon_Byrd;TEX;Outfielder;72;229
Brad_Wilkerson;TEX;Outfielder;72;206
Sammy_Sosa;TEX;Outfielder;72;220
Kenny_Lofton;TEX;Outfielder;72;180
Frank_Catalanotto;TEX;Outfielder;71;195
Nelson_Cruz;TEX;Outfielder;75;175
Jason_Botts;TEX;Designated_Hitter;77;250
Robinson_Tejeda;TEX;Starting_Pitcher;75;188
John_Rheinecker;TEX;Starting_Pitcher;74;230
Edinson_Volquez;TEX;Starting_Pitcher;73;190
A.J._Murray;TEX;Starting_Pitcher;75;200
Brandon_McCarthy;TEX;Starting_Pitcher;79;190
Vicente_Padilla;TEX;Starting_Pitcher;74;219
Kevin_Millwood;TEX;Starting_Pitcher;76;235
John_Koronka;TEX;Starting_Pitcher;73;180
Frank_Francisco;TEX;Relief_Pitcher;74;180
Francisco_Cruceta;TEX;Relief_Pitcher;74;180
Akinori_Otsuka;TEX;Relief_Pitcher;72;200
Eric_Gagne;TEX;Relief_Pitcher;74;234
Ron_Mahay;TEX;Relief_Pitcher;74;185
Joaquin_Benoit;TEX;Relief_Pitcher;75;220
Rick_Bauer;TEX;Relief_Pitcher;78;223
Josh_Rupe;TEX;Relief_Pitcher;74;200
Wes_Littleton;TEX;Relief_Pitcher;74;210
C.J._Wilson;TEX;Relief_Pitcher;74;200
Scott_Feldman;TEX;Relief_Pitcher;77;210
Gregg_Zaun;TOR;Catcher;70;190
Jason_Phillips;TOR;Catcher;73;177
Lyle_Overbay;TOR;First_Baseman;74;227
Russ_Adams;TOR;Second_Baseman;73;180
Aaron_Hill;TOR;Second_Baseman;71;195
Jason_Smith;TOR;Second_Baseman;75;199
John_McDonald;TOR;Shortstop;71;175
Royce_Clayton;TOR;Shortstop;72;185
Troy_Glaus;TOR;Third_Baseman;77;240
John_Hattig;TOR;Third_Baseman;74;210
Reed_Johnson;TOR;Outfielder;70;180
Alex_Rios;TOR;Outfielder;77;194
Vernon_Wells;TOR;Outfielder;73;225
Frank_Thomas;TOR;Designated_Hitter;77;275
Adam_Lind;TOR;Designated_Hitter;74;195
Shaun_Marcum;TOR;Starting_Pitcher;72;180
Casey_Janssen;TOR;Starting_Pitcher;76;205
Gustavo_Chacin;TOR;Starting_Pitcher;71;193
A.J._Burnett;TOR;Starting_Pitcher;76;230
Roy_Halladay;TOR;Starting_Pitcher;78;230
John_Thomson;TOR;Starting_Pitcher;75;220
Tomo_Ohka;TOR;Starting_Pitcher;73;200
B.J._Ryan;TOR;Relief_Pitcher;78;249
Scott_Downs;TOR;Relief_Pitcher;74;190
Brian_Tallet;TOR;Relief_Pitcher;79;208
Matt_Roney;TOR;Relief_Pitcher;75;245
Tracy_Thorpe;TOR;Relief_Pitcher;76;250
Jean_Machi;TOR;Relief_Pitcher;72;160
Brandon_League;TOR;Relief_Pitcher;75;192
Dustin_McGowan;TOR;Relief_Pitcher;75;220
Jason_Frasor;TOR;Relief_Pitcher;70;170
Francisco_Rosario;TOR;Relief_Pitcher;72;197
Davis_Romero;TOR;Relief_Pitcher;70;155
Jeremy_Accardo;TOR;Relief_Pitcher;74;190
Mike_Redmond;MIN;Catcher;71;200
Joe_Mauer;MIN;Catcher;76;220
Chris_Heintz;MIN;Catcher;73;210
Justin_Morneau;MIN;First_Baseman;76;228
Luis_Castillo;MIN;Second_Baseman;71;190
Alexi_Casilla;MIN;Second_Baseman;69;160
Alejandro_Machado;MIN;Second_Baseman;72;184
Jason_Bartlett;MIN;Shortstop;72;180
Luis_Rodriguez;MIN;Third_Baseman;69;180
Jeff_Cirillo;MIN;Third_Baseman;73;200
Nick_Punto;MIN;Third_Baseman;69;176
Jason_Tyner;MIN;Outfielder;73;160
Michael_Cuddyer;MIN;Outfielder;74;222
Torii_Hunter;MIN;Outfielder;74;211
Lew_Ford;MIN;Outfielder;72;195
Jason_Kubel;MIN;Outfielder;71;200
Josh_Rabe;MIN;Designated_Hitter;74;210
Rondell_White;MIN;Designated_Hitter;73;225
Ramon_Ortiz;MIN;Starting_Pitcher;72;175
Johan_Santana;MIN;Starting_Pitcher;72;206
Carlos_Silva;MIN;Starting_Pitcher;76;240
Matt_Garza;MIN;Starting_Pitcher;76;185
Boof_Bonser;MIN;Starting_Pitcher;76;260
Francisco_Liriano;MIN;Starting_Pitcher;74;185
Scott_Baker;MIN;Starting_Pitcher;76;221
Pat_Neshek;MIN;Relief_Pitcher;75;205
Glen_Perkins;MIN;Relief_Pitcher;71;200
Julio_DePaula;MIN;Relief_Pitcher;72;170
Juan_Rincon;MIN;Relief_Pitcher;71;201
Jesse_Crain;MIN;Relief_Pitcher;73;205
Matt_Guerrier;MIN;Relief_Pitcher;75;185
Joe_Nathan;MIN;Relief_Pitcher;76;205
Dennys_Reyes;MIN;Relief_Pitcher;75;245
Brayan_Pe?a;ATL;Catcher;71;220
Brian_McCann;ATL;Catcher;75;210
Craig_Wilson;ATL;First_Baseman;74;220
Chris_Woodward;ATL;Second_Baseman;72;185
Pete_Orr;ATL;Second_Baseman;73;175
Martin_Prado;ATL;Second_Baseman;73;170
Tony_Pe?a;ATL;Shortstop;73;180
Edgar_Renteria;ATL;Shortstop;73;200
Chipper_Jones;ATL;Third_Baseman;76;210
Willy_Aybar;ATL;Third_Baseman;72;175
Jeff_Francoeur;ATL;Outfielder;76;220
Matt_Diaz;ATL;Outfielder;73;206
Kelly_Johnson;ATL;Outfielder;73;180
Andruw_Jones;ATL;Outfielder;73;210
Ryan_Langerhans;ATL;Outfielder;75;195
Scott_Thorman;ATL;Outfielder;75;200
T.J._Bohn;ATL;Outfielder;77;200
Tim_Hudson;ATL;Starting_Pitcher;73;164
Jonathan_Johnson;ATL;Starting_Pitcher;72;180
John_Smoltz;ATL;Starting_Pitcher;75;220
Mike_Hampton;ATL;Starting_Pitcher;70;195
Kyle_Davies;ATL;Starting_Pitcher;74;205
Chuck_James;ATL;Starting_Pitcher;72;170
Phil_Stockman;ATL;Relief_Pitcher;80;240
Macay_McBride;ATL;Relief_Pitcher;71;210
Joey_Devine;ATL;Relief_Pitcher;71;195
Peter_Moylan;ATL;Relief_Pitcher;74;200
Mike_Gonzalez;ATL;Relief_Pitcher;74;205
Lance_Cormier;ATL;Relief_Pitcher;73;192
Blaine_Boyer;ATL;Relief_Pitcher;75;190
Manny_Acosta;ATL;Relief_Pitcher;76;170
Bob_Wickman;ATL;Relief_Pitcher;73;240
